epoch,train_loss,val_loss,val_f1
1,1.2710079263238345,1.2409441659325047,0.15863777558990672
2,1.225982921964982,1.0901676981072677,0.25495550281476814
3,1.1249735418487998,1.0254443821154142,0.2608896911756863
4,1.0593516118386213,0.9918723404407501,0.27507526508261493
5,1.0131750857128816,0.9912603873955576,0.28830539868211713
6,0.9967203553985147,0.943623108299155,0.2692936546793814
7,0.9696655960643993,0.9069691429796972,0.3061065229514815
8,0.9317811047329622,0.9329762713689553,0.3174556289632788
9,0.9205728811376235,0.882244131674892,0.3146465581005616
10,0.9133328777902266,0.8827658609340066,0.3305874113774411
11,0.9003496180562413,0.878691083506534,0.3257520456804993
12,0.8884049289366778,0.8512717493270573,0.31019388200304987
13,0.85806343906066,0.8576834084171998,0.30253693928554326
14,0.8590931387508617,0.8331644519379264,0.3259108170714357
15,0.8169209354064044,0.8152184025629571,0.33544622032533156
16,0.7868396548663869,0.8112702838292247,0.3321336707594981
17,0.7838338262894574,0.8147658342985731,0.35420263358969906
18,0.7661045088487513,0.8487495522161848,0.34174793093740047
19,0.770218373747433,0.8161109266312498,0.35132141602271777
20,0.7530659289921031,0.8278720206335971,0.36389937272699413
21,0.744887485223658,0.7920202773652578,0.3455268957431757
22,0.733126937641817,0.8364271907822082,0.35783063649596886
23,0.7326433658599854,0.8155099482912767,0.3616322779065871
24,0.7293627335744746,0.8044258979590315,0.3647627793406793
25,0.7013031742152046,0.8159827312552616,0.3521832861887722
26,0.716618924631792,0.8389766128047517,0.36444885771804536
27,0.6951411503202775,0.8261481180394951,0.3470436850345451
28,0.6881128055207869,0.8486600254515284,0.36432641488377837
29,0.66494020188556,0.8038300238549709,0.3737298748730907
30,0.6688075903583975,0.8043856926654515,0.3637976540552131
31,0.6533239322550156,0.8201011820255142,0.37227750316033065
32,0.6527877372853896,0.7870166505637922,0.35908595764912593
33,0.6450114537687862,0.845429244010072,0.37985359920298883
34,0.657464157483157,0.844923360273242,0.37472143208974273
35,0.6376770426245296,0.8296258278975361,0.3718935790901289
36,0.6343967560459586,0.8255074320262984,0.37676926665624977
37,0.6409890623653636,0.8040049627031151,0.37037967406292677
38,0.6176266754374785,0.817294670759063,0.37797552274272067
39,0.6223934180596296,0.8286902122199535,0.382025710433335
40,0.6157542435561909,0.8421959841721937,0.3799992590620912
41,0.6049313138513004,0.8420791244624477,0.38374574666029826
42,0.5989861081628238,0.8289159958888042,0.38161700974071383
43,0.6006206147810992,0.8398638988698,0.3755106277192873
44,0.6062398977139417,0.8489723074200907,0.3855295782899722
45,0.6048934596426346,0.8227829858660698,0.3829355690045025
46,0.6003521540585686,0.8548084974877144,0.3868260135224483
47,0.601029701793895,0.8334924408087605,0.3864535067704338
48,0.5916015565395355,0.8239545904001907,0.3779567613464347
49,0.5961213473011465,0.83471864912855,0.38695544406686955
50,0.5872432698221768,0.8664112236154707,0.3868170699170282
51,0.5821896367213305,0.8293107503927067,0.37808568364586764
52,0.5950755915221047,0.8323196198203062,0.3902348045447509
53,0.5874318171949947,0.8416391341996036,0.3894103122356832
54,0.5793205068391912,0.8555812214648253,0.39067183344396045
55,0.5866222059025484,0.844768852093502,0.3886802890480513
56,0.5808458685874939,0.8755425516712038,0.3874450900288219
57,0.5882706540472368,0.8623889466061404,0.395939543291517
58,0.5690476582330816,0.8600245806829709,0.3912486137996259
59,0.5923938621492947,0.8274954620160555,0.3850494090552888
60,0.5709331635166617,0.8777846328325962,0.3890038447053617
61,0.5722873596584096,0.8604082149992648,0.39748259062603536
